Column no,Column Name,Column Description,Column Description Detail
1,Age,Members age (binned),
2,Gender,gender 1=female - 0=male,
3,MedPaidAmount,Total amount paid in the observation periods for medical claims ,
4,RxPaidAmount,Total amount paid in the observation periods for pharmacy claims ,
5,Diag_DD0000,Unspecified Diagnosis ,"Indicator variable, 1 if the diagnosis was present in the observation period"
6,Diag_DD0002,CAD ,"Indicator variable, 1 if the diagnosis was present in the observation period"
7,Diag_DD0004,ENT and Upper Resp Disorders ,"Indicator variable, 1 if the diagnosis was present in the observation period"
8,Diag_DD0006,Musculoskeletal Disorders ,"Indicator variable, 1 if the diagnosis was present in the observation period"
9,Diag_DD0008,Gynecological Disorders ,"Indicator variable, 1 if the diagnosis was present in the observation period"
10,Diag_DD0012,Chest Pain ,"Indicator variable, 1 if the diagnosis was present in the observation period"
11,Diag_DD0014,Joint Derangement ,"Indicator variable, 1 if the diagnosis was present in the observation period"
12,Diag_DD0016,Osteoarthritis ,"Indicator variable, 1 if the diagnosis was present in the observation period"
13,Diag_DD0018,Back Pain ,"Indicator variable, 1 if the diagnosis was present in the observation period"
14,Diag_DD0020,Abdominal Pain ,"Indicator variable, 1 if the diagnosis was present in the observation period"
15,Diag_DD0022,Lower GI Disorders ,"Indicator variable, 1 if the diagnosis was present in the observation period"
16,Diag_DD0026,Renal Failure ,"Indicator variable, 1 if the diagnosis was present in the observation period"
17,Diag_DD0034,Misc Skin Diseases ,"Indicator variable, 1 if the diagnosis was present in the observation period"
18,Diag_DD0036,Misc Benign Neoplasms ,"Indicator variable, 1 if the diagnosis was present in the observation period"
19,Diag_DD0038,All cancers,"Indicator variable, 1 if the diagnosis was present in the observation period"
20,Diag_DD0042,Misc Wounds and Injuries ,"Indicator variable, 1 if the diagnosis was present in the observation period"
21,Diag_DD0044,Upper GI Disorders ,"Indicator variable, 1 if the diagnosis was present in the observation period"
22,Diag_DD0046,Diabetes Mellitus ,"Indicator variable, 1 if the diagnosis was present in the observation period"
23,Diag_DD0052,Congestive Heart Failure ,"Indicator variable, 1 if the diagnosis was present in the observation period"
24,Diag_DD0056,Misc Urinary Diseases ,"Indicator variable, 1 if the diagnosis was present in the observation period"
25,Diag_DD0058,Dysrhythmias ,"Indicator variable, 1 if the diagnosis was present in the observation period"
26,Diag_DD0062,COPD ,"Indicator variable, 1 if the diagnosis was present in the observation period"
27,Diag_DD0064,Hypertension ,"Indicator variable, 1 if the diagnosis was present in the observation period"
28,Diag_DD0070,Cataract ,"Indicator variable, 1 if the diagnosis was present in the observation period"
29,Diag_DD0072,Misc Symptoms ,"Indicator variable, 1 if the diagnosis was present in the observation period"
30,Diag_DD0080,Neuropathies ,"Indicator variable, 1 if the diagnosis was present in the observation period"
31,Diag_DD0082,Lower Respiratory Disorders ,"Indicator variable, 1 if the diagnosis was present in the observation period"
