"rules","support","confidence","coverage","lift","count"
"{} => {Diag_DD0018}",0.113929684023142,0.113929684023142,1,1,1536
"{} => {Diag_DD0020}",0.106883251743065,0.106883251743065,1,1,1441
"{} => {Diag_DD0056}",0.11415220293725,0.11415220293725,1,1,1539
"{} => {Diag_DD0102}",0.167111704494882,0.167111704494882,1,1,2253
"{} => {Diag_DD0002}",0.171636255748405,0.171636255748405,1,1,2314
"{} => {Diag_DD0012}",0.158878504672897,0.158878504672897,1,1,2142
"{} => {Diag_DD0034}",0.199525292983237,0.199525292983237,1,1,2690
"{} => {Diag_DD0142}",0.266132621272808,0.266132621272808,1,1,3588
"{} => {Diag_DD0004}",0.246031746031746,0.246031746031746,1,1,3317
"{} => {Diag_DD0006}",0.28237650200267,0.28237650200267,1,1,3807
"{} => {Diag_DD0064}",0.375166889185581,0.375166889185581,1,1,5058
"{Diag_DD0142} => {Diag_DD0064}",0.123127132472927,0.462653288740245,0.266132621272808,1.23319328564571,1660
"{Diag_DD0064} => {Diag_DD0142}",0.123127132472927,0.328192961644919,0.375166889185581,1.23319328564571,1660
