"OBS","AGE","GENDER","CHK_ACCT","SAV_ACCT","NUM_CREDITS","DURATION","HISTORY","PRESENT_RESIDENT","EMPLOYMENT","JOB","NUM_DEPENDENTS","RENT","INSTALL_RATE","GUARANTOR","OTHER_INSTALL","OWN_RES","TELEPHONE","FOREIGN","REAL_ESTATE","TYPE","AMOUNT_REQUESTED","CREDIT_EXTENDED","NPV","IsProfitable"
1,67,"female","0","4",2,6,"4","4","4","2",1,0,4,0,0,1,1,0,1,"4",1169,1052,243,1
2,25,"female","1","0",1,12,"2","1","1","2",1,1,3,0,0,0,0,0,0,"1",1295,1165,-473,0
3,48,"male","3","0",3,9,"4","4","2","2",1,0,4,0,0,1,1,0,0,"1",2134,1920,268,1
4,36,"male","1","3",1,18,"2","3","1","2",1,0,3,0,1,1,1,0,1,"6",1913,1721,416,1
5,30,"female","3","2",1,30,"2","2","4","3",1,0,4,0,1,1,0,0,0,"4",2333,1166,235,1
6,29,"female","1","4",1,24,"3","2","1","1",1,0,4,0,1,1,0,0,0,"3",2333,1866,480,1
7,27,"male","1","0",1,9,"2","1","2","2",1,0,2,0,1,1,1,0,1,"6",1391,695,118,1
8,30,"female","3","0",1,36,"2","2","2","2",1,0,1,0,1,1,0,0,0,"2",8133,6506,1407,1
9,44,"female","3","4",2,24,"2","1","1","2",1,0,1,0,0,1,1,0,0,"4",5943,5943,-1826,0
10,56,"male","3","0",1,12,"4","4","4","2",1,0,4,0,0,1,0,0,1,"4",618,556,163,1
11,41,"male","3","1",1,24,"2","4","4","1",1,1,4,0,0,0,0,0,1,"1",1469,1322,376,1
12,31,"male","1","1",2,6,"3","2","4","2",2,0,1,0,1,1,0,0,0,"6",1449,1304,252,1
13,25,"male","0","0",2,21,"2","2","2","2",1,0,3,0,0,1,1,0,1,"4",1835,917,-508,0
14,24,"female","1","4",1,48,"2","2","3","2",1,0,1,0,0,1,0,0,0,"1",8487,5092,976,1
15,27,"female","2","3",1,6,"2","2","1","0",1,0,2,0,0,1,0,1,1,"1",709,496,93,1
16,42,"male","3","1",1,6,"2","4","4","2",2,0,2,0,1,0,1,0,0,"4",1346,1076,295,1
17,36,"female","3","1",1,24,"4","4","4","2",2,0,3,0,0,1,1,0,1,"4",2872,2584,744,1
18,33,"male","0","0",2,15,"0","3","4","2",2,1,4,0,0,0,0,0,0,"1",950,570,-188,0
19,28,"female","3","0",2,36,"3","1","1","2",1,0,1,0,0,1,0,0,0,"6",9572,6700,-4386,0
20,54,"male","3","3",3,24,"2","3","2","3",1,0,2,0,0,1,1,0,0,"6",4591,4131,-2912,0
21,52,"male","3","2",2,9,"4","2","4","2",1,0,4,0,0,1,1,0,0,"5",936,842,198,1
22,33,"male","3","4",2,9,"4","2","2","2",2,0,1,0,0,1,0,0,1,"4",3074,2151,262,1
23,26,"female","1","0",1,12,"2","1","1","1",1,0,4,1,1,1,0,0,1,"4",625,375,90,1
24,26,"male","2","0",1,36,"2","2","2","2",1,0,4,0,0,1,0,0,0,"4",4210,2526,-816,0
25,29,"male","0","4",1,24,"2","2","4","2",1,0,4,0,1,1,0,0,0,"1",915,915,-337,0
26,39,"male","0","3",2,6,"4","4","3","1",1,0,3,0,0,1,1,0,1,"1",666,466,67,1
27,27,"male","0","0",1,12,"2","2","2","2",1,0,2,0,0,1,0,0,1,"3",1657,1491,429,1
28,32,"female","3","4",1,18,"2","3","3","2",1,0,4,0,0,1,0,1,0,"1",2662,1863,485,1
29,23,"male","3","3",2,15,"4","4","4","2",1,1,3,0,0,0,1,0,0,"2",3368,2694,414,1
30,26,"male","3","0",1,12,"2","2","2","2",1,0,2,0,0,1,1,1,1,"6",1076,645,114,1
31,54,"female","3","0",1,6,"2","4","0","0",1,0,1,0,0,1,1,0,1,"1",672,470,116,1
32,40,"male","1","4",1,48,"2","4","0","0",1,0,3,0,1,0,1,0,0,"0",5381,5381,1768,1
33,28,"male","1","0",2,30,"4","2","0","3",1,0,4,0,0,1,0,0,0,"1",4249,2549,-1157,0
34,75,"male","0","0",2,24,"4","4","0","3",1,0,2,0,0,0,1,0,0,"2",6615,3307,379,1
35,24,"male","1","0",2,24,"4","4","1","2",1,0,2,0,0,0,1,0,0,"5",5743,4020,674,1
36,23,"male","3","0",1,9,"2","4","1","2",1,1,1,0,0,0,1,0,1,"0",1236,741,140,1
37,61,"male","1","4",1,18,"2","4","2","2",1,0,4,0,0,0,0,0,0,"5",1239,867,194,1
38,36,"male","3","4",1,36,"2","4","2","2",1,0,4,0,0,1,0,0,1,"1",3079,2771,811,1
39,39,"male","0","4",1,20,"2","4","3","2",1,0,4,0,0,1,1,0,0,"3",2212,2212,611,1
40,30,"male","3","0",1,18,"2","2","2","3",1,0,2,0,0,1,1,0,0,"1",1820,1820,542,1
41,39,"female","3","0",1,18,"2","4","1","2",1,0,3,0,0,1,1,0,1,"4",1473,1473,430,1
42,20,"male","1","0",1,24,"2","4","4","2",1,0,4,0,0,1,1,0,0,"4",1967,1376,301,1
43,20,"male","3","3",1,15,"2","3","3","2",1,1,2,0,0,0,0,0,0,"1",3186,3186,862,1
44,74,"male","3","0",1,5,"2","4","3","1",1,0,1,0,0,1,0,0,1,"6",3448,3103,824,1
45,39,"female","3","0",1,12,"2","4","4","3",1,0,4,0,0,1,1,0,0,"1",1884,1507,415,1
46,30,"male","3","4",1,36,"4","2","2","3",1,0,4,0,0,1,1,0,0,"2",11054,7737,1640,1
47,37,"female","0","0",1,36,"2","2","2","2",2,0,1,1,0,1,0,0,0,"3",3620,1810,334,1
48,22,"female","1","1",1,24,"2","2","1","2",1,1,3,0,0,0,1,0,0,"4",3092,1546,-790,0
49,23,"male","1","0",1,12,"4","1","2","1",1,0,1,0,0,1,0,0,1,"4",3573,2501,590,1
50,26,"male","3","0",2,12,"4","2","4","2",1,0,2,0,0,1,0,0,0,"4",1934,1547,282,1
