"NPVpredTrain_cutoffLIST","NPVpredTrain_accuracyLIST","NPVpredTrain_sensitivityLIST"
-1500,0.914285714285714,0.990491283676704
-1450,0.908571428571429,0.990430622009569
-1400,0.904285714285714,0.988782051282051
-1350,0.901428571428571,0.987138263665595
-1300,0.894285714285714,0.983818770226537
-1250,0.885714285714286,0.982055464926591
-1200,0.881428571428571,0.980327868852459
-1150,0.875714285714286,0.975206611570248
-1100,0.875714285714286,0.973509933774834
-1050,0.871428571428571,0.966832504145937
-1000,0.861428571428571,0.959798994974874
-950,0.855714285714286,0.956006768189509
-900,0.85,0.948892674616695
-850,0.841428571428571,0.944827586206897
-800,0.831428571428571,0.933566433566434
-750,0.818571428571429,0.920634920634921
-700,0.81,0.902826855123675
-650,0.805714285714286,0.895017793594306
-600,0.8,0.882671480144404
-550,0.798571428571429,0.875229357798165
-500,0.771428571428571,0.844155844155844
-450,0.764285714285714,0.831758034026465
-400,0.752857142857143,0.811175337186898
-350,0.738571428571429,0.791748526522593
-300,0.734285714285714,0.768
-250,0.728571428571429,0.745417515274949
-200,0.722857142857143,0.719587628865979
-150,0.7,0.677754677754678
-100,0.674285714285714,0.631799163179916
-50,0.66,0.594142259414226
0,0.641428571428571,0.552301255230126
50,0.612857142857143,0.50752688172043
100,0.58,0.443418013856813
150,0.577142857142857,0.405612244897959
200,0.571428571428571,0.343108504398827
250,0.585714285714286,0.318032786885246
300,0.602857142857143,0.279850746268657
350,0.625714285714286,0.244813278008299
400,0.648571428571429,0.185365853658537
450,0.687142857142857,0.173410404624277
500,0.71,0.138157894736842
550,0.73,0.109489051094891
600,0.768571428571429,0.094017094017094
650,0.781428571428571,0.0462962962962963
700,0.82,0.0222222222222222
750,0.847142857142857,0.0240963855421687
800,0.861428571428571,0.0263157894736842
850,0.882857142857143,0.0303030303030303
900,0.904285714285714,0.0357142857142857
950,0.918571428571429,0.0204081632653061
1000,0.928571428571429,0.0232558139534884
1050,0.94,0.0263157894736842
1100,0.948571428571429,0.0285714285714286
1150,0.952857142857143,0.0303030303030303
1200,0.954285714285714,0
1250,0.957142857142857,0
1300,0.96,0
1350,0.967142857142857,0
1400,0.972857142857143,0
1450,0.975714285714286,0
1500,0.975714285714286,0
