OBS,AGE,GENDER,CHK_ACCT,SAV_ACCT,NUM_CREDITS,DURATION,HISTORY,PRESENT_RESIDENT,EMPLOYMENT,JOB,NUM_DEPENDENTS,RENT,INSTALL_RATE,GUARANTOR,OTHER_INSTALL,OWN_RES,TELEPHONE,FOREIGN,REAL_ESTATE,TYPE,AMOUNT_REQUESTED,CREDIT_EXTENDED,NPV,IsProfitable,MySample,NPV_Predicted
836,28,male,3,0,1,12,2,2,2,2,1,0,4,0,0,1,0,0,1,4,776,543,104,1,T,409.3278262
679,40,male,3,2,1,22,2,4,4,2,1,0,3,0,0,1,0,0,0,4,2675,1605,289,1,T,238.6967348
129,50,female,3,0,1,12,2,2,2,2,1,0,4,0,0,1,0,0,1,3,1574,1416,446,1,T,270.65328
930,32,female,1,3,2,21,4,2,3,2,1,0,3,0,0,1,1,0,0,3,2745,1647,171,1,T,161.9870791
509,29,male,3,0,2,12,4,2,2,3,1,0,4,1,0,1,1,0,1,6,1412,988,181,1,T,-181.1161407
471,32,male,1,0,1,27,2,1,1,2,2,0,4,0,0,1,1,0,0,6,2528,1769,424,1,T,-1196.513856
299,28,male,2,1,1,21,2,1,2,3,1,0,1,0,1,1,1,0,0,1,2923,1753,357,1,T,164.0900952
270,29,male,1,1,1,24,2,1,1,2,1,0,2,0,0,1,0,0,0,4,2896,2027,390,1,T,-273.0863216
978,67,male,1,0,1,18,2,4,0,2,1,0,2,0,0,1,1,0,0,0,3872,3872,1149,1,T,-454.9704662
187,28,female,3,0,1,18,3,2,2,2,1,0,4,0,0,1,1,0,0,6,2169,1952,-1355,0,T,-138.23329
307,25,male,1,0,1,48,0,2,2,2,1,0,2,0,0,1,1,0,0,6,14421,10094,-7360,0,T,-2215.01928
597,26,male,1,4,1,30,2,1,2,2,1,0,4,0,0,1,0,0,0,4,1715,1029,240,1,T,8.279915569
277,24,male,0,0,1,12,2,3,2,1,1,0,4,0,0,1,0,0,0,4,2214,1328,266,1,T,-46.19223307
874,45,female,3,0,2,6,4,3,3,3,2,0,1,0,0,1,1,0,0,1,6761,6084,1037,1,T,387.9669198
950,28,female,2,1,2,6,4,4,4,2,2,0,2,0,0,1,1,0,0,1,1323,1058,166,1,T,454.4906021
494,23,female,0,0,1,12,2,1,2,2,1,0,4,0,1,1,0,0,0,4,1498,1498,439,1,T,-46.19223307
330,56,male,2,0,1,42,4,4,4,2,1,0,4,0,0,0,0,0,0,2,4796,3357,764,1,T,-96.6661584
775,37,male,0,0,1,12,2,1,1,1,1,0,3,0,0,1,0,0,1,1,1274,637,-268,0,T,-265.9635562
841,26,male,3,2,1,24,2,2,4,3,1,0,3,0,0,1,1,0,0,4,3235,1617,258,1,T,196.1622716
591,20,male,0,0,1,12,2,2,2,3,2,1,2,0,0,0,1,0,1,4,1107,885,208,1,T,-59.3474173
725,35,male,3,1,1,6,0,1,2,2,1,1,4,0,1,0,0,1,0,1,1204,722,147,1,T,-603.9161569
37,61,male,1,4,1,18,2,4,2,2,1,0,4,0,0,0,0,0,0,5,1239,867,194,1,T,-209.6819788
105,26,male,1,2,1,12,2,1,2,2,1,0,3,0,0,1,1,0,0,4,1158,926,253,1,T,111.0190007
729,31,female,1,1,1,48,3,4,0,3,1,0,2,0,0,0,1,0,0,0,7582,6065,1366,1,T,-666.4744854
878,38,male,3,3,2,36,4,2,4,3,1,0,4,0,0,1,1,0,0,2,5711,4568,987,1,T,135.38571
