Date,Quantity
9/15/2010,1
9/16/2010,1
9/17/2010,9
9/18/2010,0.01
9/19/2010,11
9/20/2010,238
9/21/2010,335
9/22/2010,406
9/23/2010,380
9/24/2010,370
9/25/2010,555
9/26/2010,547
9/27/2010,292
9/28/2010,422
9/29/2010,455
9/30/2010,165
10/1/2010,589
10/2/2010,858
10/3/2010,516
10/4/2010,336
10/5/2010,636
10/6/2010,689
10/7/2010,889
10/8/2010,952
10/9/2010,1132
10/10/2010,1114
10/11/2010,985
10/12/2010,1096
10/13/2010,1140
10/14/2010,583
10/15/2010,1156
10/16/2010,1402
10/17/2010,1354
10/18/2010,1151
10/19/2010,1159
10/20/2010,1156
10/21/2010,1349
10/22/2010,1393
10/23/2010,1726
10/24/2010,1575
10/25/2010,1352
10/26/2010,1572
10/27/2010,1047
10/28/2010,1714
10/29/2010,1681
10/30/2010,2342
10/31/2010,1978
11/1/2010,1474
11/2/2010,1422
11/3/2010,1507
11/4/2010,602
11/5/2010,1880
11/6/2010,1845
11/7/2010,1442
11/8/2010,1623
11/9/2010,1964
11/10/2010,2075
11/11/2010,2087
11/12/2010,2059
11/13/2010,2300
11/14/2010,2039
11/15/2010,1757
11/16/2010,783
11/17/2010,1948
11/18/2010,1881
11/19/2010,1981
11/20/2010,2386
11/21/2010,1777
11/22/2010,1927
11/23/2010,1789
11/24/2010,1513
11/25/2010,569
11/26/2010,792
11/27/2010,952
11/28/2010,958
11/29/2010,1508
11/30/2010,1277
12/1/2010,991
12/2/2010,1486
12/3/2010,1609
12/4/2010,1222
12/5/2010,1019
12/6/2010,1194
12/7/2010,1096
12/8/2010,1152
12/9/2010,1296
12/10/2010,1307
12/11/2010,1154
12/12/2010,428
12/13/2010,1051
12/14/2010,859
12/15/2010,1062
12/16/2010,678
12/17/2010,873
12/18/2010,846
12/19/2010,814
12/20/2010,1046
12/21/2010,1061
12/22/2010,1112
12/23/2010,747
12/24/2010,352
12/25/2010,191
12/26/2010,92
12/27/2010,308
12/28/2010,705
12/29/2010,946
12/30/2010,1121
12/31/2010,948
1/1/2011,984
1/2/2011,800
1/3/2011,1347
1/4/2011,1561
1/5/2011,1597
1/6/2011,1603
1/7/2011,1506
1/8/2011,959
1/9/2011,821
1/10/2011,1319
1/11/2011,1260
1/12/2011,1159
1/13/2011,1399
1/14/2011,1418
1/15/2011,1248
1/16/2011,1204
1/17/2011,1000
1/18/2011,680
1/19/2011,1649
1/20/2011,1915
1/21/2011,1537
1/22/2011,981
1/23/2011,986
1/24/2011,1414
1/25/2011,1982
1/26/2011,503
1/27/2011,430
1/28/2011,1165
1/29/2011,1097
1/30/2011,1093
1/31/2011,1501
2/1/2011,1360
2/2/2011,1524
2/3/2011,1545
2/4/2011,1705
2/5/2011,1005
2/6/2011,1620
2/7/2011,1706
2/8/2011,1524
2/9/2011,1597
2/10/2011,1534
2/11/2011,1739
2/12/2011,1471
2/13/2011,1589
2/14/2011,1906
2/15/2011,1808
2/16/2011,2108
2/17/2011,2469
2/18/2011,2922
2/19/2011,1634
2/20/2011,1812
2/21/2011,1105
2/22/2011,1441
2/23/2011,1908
2/24/2011,1801
2/25/2011,1454
2/26/2011,1968
2/27/2011,2401
2/28/2011,1439
3/1/2011,1843
3/2/2011,2127
3/3/2011,1677
3/4/2011,1936
3/5/2011,2073
3/6/2011,604
3/7/2011,1867
3/8/2011,2123
3/9/2011,1881
3/10/2011,620
3/11/2011,1971
3/12/2011,2132
3/13/2011,2413
3/14/2011,2043
3/15/2011,2046
3/16/2011,2187
3/17/2011,2736
3/18/2011,3227
3/19/2011,3112
3/20/2011,2468
3/21/2011,2073
3/22/2011,2695
3/23/2011,2117
3/24/2011,1859
3/25/2011,2199
3/26/2011,2495
3/27/2011,1692
3/28/2011,2020
3/29/2011,2420
3/30/2011,1528
3/31/2011,1674
4/1/2011,2216
4/2/2011,2252
4/3/2011,3248
4/4/2011,3108
4/5/2011,1786
4/6/2011,2797
4/7/2011,3133
4/8/2011,1467
4/9/2011,2454
4/10/2011,2892
4/11/2011,3341
4/12/2011,2025
4/13/2011,2150
4/14/2011,3251
4/15/2011,3115
4/16/2011,795
4/17/2011,3741
4/18/2011,3418
4/19/2011,3192
4/20/2011,3933
4/21/2011,4179
4/22/2011,1676
4/23/2011,4035
4/24/2011,4188
4/25/2011,4062
4/26/2011,4378
4/27/2011,3859
4/28/2011,4044
4/29/2011,4590
4/30/2011,5312
5/1/2011,3348
5/2/2011,4385
5/3/2011,4437
5/4/2011,2624
5/5/2011,4422
5/6/2011,4594
5/7/2011,4710
5/8/2011,4332
5/9/2011,4335
5/10/2011,4782
5/11/2011,4172
5/12/2011,4855
5/13/2011,4096
5/14/2011,3402
5/15/2011,4552
5/16/2011,3950
